question,answer,points,title
Sebutkan tempat wisata Indonesia yang terkenal!,BALI,30,Family Feud
Sebutkan tempat wisata Indonesia yang terkenal!,RAJA AMPAT,25,
Sebutkan tempat wisata Indonesia yang terkenal!,CANDI BOROBUDUR,20,
Sebutkan tempat wisata Indonesia yang terkenal!,LABUAN BAJO,15,
Sebutkan tempat wisata Indonesia yang terkenal!,DANAU TOBA,10,
Sebutkan alasan siswa datang terlambat ke sekolah!,BANGUN KESIANGAN,30,
Sebutkan alasan siswa datang terlambat ke sekolah!,MACET,25,
Sebutkan alasan siswa datang terlambat ke sekolah!,MASALAH KENDARAN,20,
Sebutkan alasan siswa datang terlambat ke sekolah!,KELUPAAN BARANG,15,
Sebutkan alasan siswa datang terlambat ke sekolah!,HUJAN,10,
Sebutkan alasan seseorang tidak membalas chat!,LUPA MEMBALAS,30,
Sebutkan alasan seseorang tidak membalas chat!,LAGI GA MOOD BALAS CHAT,25,
Sebutkan alasan seseorang tidak membalas chat!,TIDAK TAHU MAU MEMBALAS APA,20,
Sebutkan alasan seseorang tidak membalas chat!,SIBUK,15,
Sebutkan alasan seseorang tidak membalas chat!,SENGAJA MENUNDA,10,
Sebutkan media sosial dengan pengguna aktif terbanyak!,FACEBOOK,30,
Sebutkan media sosial dengan pengguna aktif terbanyak!,INSTAGRAM,25,
Sebutkan media sosial dengan pengguna aktif terbanyak!,YOUTUBE,20,
Sebutkan media sosial dengan pengguna aktif terbanyak!,WHATSAPP,15,
Sebutkan media sosial dengan pengguna aktif terbanyak!,TIKTOK,10,
Sebutkan alasan siswa tidak mengerjakan tugas!,LUPA,25,
Sebutkan alasan siswa tidak mengerjakan tugas!,KETIDURAN,20,
Sebutkan alasan siswa tidak mengerjakan tugas!,TERLALU BANYAK TUGAS,15,
Sebutkan alasan siswa tidak mengerjakan tugas!,TIDAK MENGERTI SOAL,10,
Sebutkan alasan siswa tidak mengerjakan tugas!,MALAS,5,
Sebutkan benda yang sering dilupakan letaknya!,KUNCI,20,
Sebutkan benda yang sering dilupakan letaknya!,HANDPHONE,15,
Sebutkan benda yang sering dilupakan letaknya!,DOMPET,10,
Sebutkan benda yang sering dilupakan letaknya!,KACAMATA,5,
Sebutkan sesuatu yang tidak pernah dianggap cukup!,UANG,20,
Sebutkan sesuatu yang tidak pernah dianggap cukup!,WAKTU,15,
Sebutkan sesuatu yang tidak pernah dianggap cukup!,WAKTU TIDUR,10,
Sebutkan sesuatu yang tidak pernah dianggap cukup!,HARI LIBUR,5,
Sebutkan guru SKC dengan jam mengajar tertinggi!,PAK ARI,20,
Sebutkan guru SKC dengan jam mengajar tertinggi!,BU GLORY,15,
Sebutkan guru SKC dengan jam mengajar tertinggi!,BU NOVIA,10,
Sebutkan guru SKC dengan jam mengajar tertinggi!,MS ABIGAIL,5,
Sebutkan makanan yang menjadi alergi bagi banyak orang!,KACANG-KACANGAN,20,
Sebutkan makanan yang menjadi alergi bagi banyak orang!,SEAFOOD,15,
Sebutkan makanan yang menjadi alergi bagi banyak orang!,SUSU SAPI,10,
Sebutkan makanan yang menjadi alergi bagi banyak orang!,TELUR,5,
Sebutkan alasan seseorang bangun kesiangan!,TIDUR TERLALU MALAM,20,
Sebutkan alasan seseorang bangun kesiangan!,ALARM TIDAK TERDENGAR,15,
Sebutkan alasan seseorang bangun kesiangan!,LUPA PASANG ALARM,10,
Sebutkan alasan seseorang bangun kesiangan!,MEMATIKAN ALARM LALU TIDUR LAGI,5,
Sebutkan olahraga yang paling banyak diminati anak SMAKC!,BASKET,25,
Sebutkan olahraga yang paling banyak diminati anak SMAKC!,FUTSAL,20,
Sebutkan olahraga yang paling banyak diminati anak SMAKC!,KASTI,15,
Sebutkan olahraga yang paling banyak diminati anak SMAKC!,VOLI,10,
Sebutkan olahraga yang paling banyak diminati anak SMAKC!,BADMINTON,5,
Sebutkan sesuatu yang sering dibeli secara online!,MAKANAN,30,
Sebutkan sesuatu yang sering dibeli secara online!,PAKAIAN,25,
Sebutkan sesuatu yang sering dibeli secara online!,AKSESORI,20,
Sebutkan sesuatu yang sering dibeli secara online!,ALAT TULIS,15,
Sebutkan sesuatu yang sering dibeli secara online!,PERALATAN ELEKTRONIK,10,
Sebutkan hal yang bisa mengganggu konsentrasi!,SUARA BERISIK,20,
Sebutkan hal yang bisa mengganggu konsentrasi!,HANDPHONE,15,
Sebutkan hal yang bisa mengganggu konsentrasi!,RASA LAPAR,10,
Sebutkan hal yang bisa mengganggu konsentrasi!,MENGANTUK,5,
Sebutkan tempat favorit siswa SKC ketika jam kosong.,PERPUS,20,
Sebutkan tempat favorit siswa SKC ketika jam kosong.,TOILET,15,
Sebutkan tempat favorit siswa SKC ketika jam kosong.,FOYER LT.7,10,
Sebutkan tempat favorit siswa SKC ketika jam kosong.,GIMNASIUM,5,
"Sebutkan 4 Film dengan penonton terbanyak di 2026, di Indonesia",Spider-Man Brand New Day,20,
"Sebutkan 4 Film dengan penonton terbanyak di 2026, di Indonesia",The Super Mario Galaxy,15,
"Sebutkan 4 Film dengan penonton terbanyak di 2026, di Indonesia",The Oddyssey,10,
"Sebutkan 4 Film dengan penonton terbanyak di 2026, di Indonesia",Toy Story 5,5,
Sebutkan sesuatu yang bisa membuat suasana kelas langsung heboh,Jamkos,20,
Sebutkan sesuatu yang bisa membuat suasana kelas langsung heboh,Ujian Mendadak,15,
Sebutkan sesuatu yang bisa membuat suasana kelas langsung heboh,Ada Serangga,10,
Sebutkan sesuatu yang bisa membuat suasana kelas langsung heboh,Gosip,5,
